"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,3,2,68,"N",3,9,1,73,1,1,1,1,180,2
1,1,3,3,71,"N",3,9,1,72,1,1,2,4,125,2
1,1,5,2,60,"H",4,8,1,73,1,2,2,6,180,1
1,1,5,2,64,"L",1,9,2,73,1,1,1,4,100,1
1,1,5,2,35,"H",1,9,2,73,2,1,1,4,80,2
1,1,5,2,33,"P",4,9,1,72,1,1,1,4,130,2
1,1,5,2,14,"Q",1,9,2,72,2,1,1,4,40,2
1,1,5,2,63,"N",3,9,2,72,1,1,1,4,130,2
1,1,5,2,12,"C",4,2,1,73,1,3,1,4,500,2
1,1,6,2,72,"L",2,9,1,72,1,1,2,4,150,2
1,1,6,2,12,"O",2,9,2,72,2,2,1,1,36,2
1,1,1,2,40,"N",2,9,1,71,1,1,2,4,100,2
1,1,1,2,48,"L",1,9,1,72,1,1,1,4,169,2
1,1,1,2,66,"L",1,9,2,71,1,1,2,4,100,1
1,1,1,2,0,"P",4,9,2,71,2,2,1,2,50,2
1,1,2,2,20,"L",2,9,2,72,1,1,1,4,100,1
1,1,2,2,50,"N",4,9,2,71,1,1,2,4,95,2
1,1,2,2,60,"L",2,9,2,71,1,1,2,4,120,2
1,1,2,2,77,"N",3,9,2,72,1,1,2,4,100,2
1,1,2,2,15,"H",3,8,2,72,2,1,2,1,50,2
1,1,2,2,24,"L",2,9,2,72,2,1,2,4,100,2
1,1,2,2,48,"L",1,9,1,72,1,1,2,4,150,2
1,1,2,2,60,"N",1,9,1,72,1,1,1,4,129,2
1,1,3,2,48,"N",1,9,1,72,1,1,2,4,110,2
1,1,3,2,60,"N",2,9,1,72,1,1,2,4,140,2
1,1,3,2,12,"Q",3,9,2,72,2,1,1,4,20,2
1,1,3,2,0,"A",2,6,2,71,1,1,2,4,120,1
1,1,3,3,8,"Q",3,4,2,71,2,1,1,4,20,2
1,1,3,2,20,"Q",3,9,2,71,2,1,1,4,20,2
1,1,3,2,50,"G",1,5,2,72,1,1,2,4,70,1
1,1,3,2,8,"O",1,9,2,72,2,1,1,4,20,2
1,1,3,2,8,"Q",4,9,2,72,2,1,2,4,20,2
1,1,3,3,8,"G",2,9,3,72,1,1,2,1,80,2
1,1,4,2,44,"G",1,9,2,71,1,1,2,4,190,1
1,1,4,4,58,"N",3,9,2,72,1,1,1,4,130,2
1,1,5,2,30,"P",1,8,1,71,1,1,2,4,140,2
1,1,5,4,72,"N",4,9,2,72,1,1,2,4,120,2
