"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,5,2,73,15,"P",3,9,2,2,1,1,1,55,2
1,1,6,2,73,32,"C",4,1,1,1,1,2,4,400,1
1,1,6,2,74,10,"C",2,2,1,2,2,1,5,200,2
1,1,1,2,72,32,"N",2,9,2,1,1,2,4,160,2
1,1,1,2,72,52,"N",1,9,2,1,1,2,4,148,2
1,1,1,2,72,5,"Q",2,9,2,2,1,1,4,10,2
1,1,1,2,73,29,"O",2,9,2,2,2,1,4,120,2
1,1,1,2,73,0,"P",4,8,2,2,1,2,2,80,2
1,1,2,2,73,40,"N",1,9,1,1,1,2,4,150,2
1,1,2,2,73,40,"P",2,8,2,1,1,2,4,160,1
1,1,2,2,73,42,"N",2,9,2,1,1,1,4,150,2
1,1,2,2,72,48,"N",1,9,2,1,1,1,4,120,2
1,1,2,2,72,49,"F",4,9,2,1,1,2,4,180,1
1,1,2,2,73,60,"N",1,9,2,1,1,1,4,100,1
1,1,2,2,73,72,"N",3,9,2,1,1,1,4,170,2
1,1,2,2,72,4,"O",3,9,2,2,2,1,1,27,2
1,1,2,2,73,24,"L",1,9,3,2,1,2,2,40,2
1,1,2,2,72,16,"N",3,9,3,2,1,2,2,100,2
1,1,3,2,73,36,"K",1,5,2,1,1,1,6,100,2
1,1,3,2,73,40,"H",5,8,1,1,3,1,6,150,1
1,1,3,2,73,42,"P",2,8,1,1,1,1,4,185,1
1,1,3,2,72,44,"N",1,9,1,1,1,1,4,150,2
1,1,3,2,72,45,"C",2,7,1,1,1,1,4,270,1
1,1,3,2,73,50,"H",2,3,1,1,1,2,4,500,1
1,1,3,2,73,51,"N",3,9,1,1,1,1,1,150,2
1,1,3,2,73,63,"L",1,9,2,1,1,2,4,160,1
1,1,3,2,72,70,"N",1,9,1,1,1,2,4,180,2
1,1,3,2,73,84,"N",1,9,2,1,1,2,1,180,2
1,1,3,2,72,26,"K",4,5,1,2,1,1,6,150,2
1,1,3,2,73,12,"G",1,9,3,2,1,2,6,20,2
1,1,3,2,73,72,"L",2,9,2,1,1,2,4,160,2
1,1,3,2,73,40,"B",4,9,1,1,1,1,4,150,1
1,1,3,2,73,40,"C",3,9,2,1,1,1,4,170,1
1,1,3,2,73,72,"L",3,9,1,1,1,1,4,170,1
1,1,3,2,73,0,"P",4,9,2,1,1,2,4,60,2
1,1,3,2,73,52,"N",3,9,1,1,1,2,4,150,2
1,1,4,2,73,80,"N",1,9,1,1,1,2,4,170,2
1,1,5,2,73,32,"H",5,1,1,1,2,2,4,430,1
1,1,5,2,73,36,"N",1,9,2,1,1,1,4,160,2
1,1,5,3,73,26,"L",2,9,2,2,1,2,4,120,2
1,1,5,2,72,9,"Q",2,9,2,2,2,1,4,27,2
1,1,5,2,72,16,"Q",4,2,2,2,1,1,4,200,2
1,1,6,4,72,10,"O",1,3,2,2,2,1,4,31,2
1,1,6,2,72,25,"C",2,8,1,2,1,2,2,110,2
1,1,1,2,72,32,"C",5,1,1,1,3,1,5,500,1
1,1,1,2,72,48,"L",2,9,2,1,1,2,4,160,2
1,1,1,2,71,52,"C",4,9,2,1,1,2,4,120,1
1,1,1,2,72,68,"L",2,9,1,1,1,2,4,165,2
1,1,1,2,72,84,"N",4,9,1,1,1,2,4,130,2
1,1,1,2,72,6,"O",4,9,2,2,1,1,4,27,2
1,1,1,2,71,15,"O",1,9,2,2,1,1,1,45,2
1,1,1,2,71,16,"N",1,9,2,2,2,1,2,24,2
1,1,1,2,71,24,"F",4,7,3,2,1,2,2,108,2
